country,latitude,longitude,year,t2m_celsius,source
American Samoa,-14.3333,-170.0,201702,28.46,NASA POWER
American Samoa,-14.3333,-170.0,201703,28.61,NASA POWER
American Samoa,-14.3333,-170.0,201704,28.5,NASA POWER
American Samoa,-14.3333,-170.0,201705,28.44,NASA POWER
American Samoa,-14.3333,-170.0,201706,27.77,NASA POWER
American Samoa,-14.3333,-170.0,201707,27.31,NASA POWER
American Samoa,-14.3333,-170.0,201708,27.13,NASA POWER
American Samoa,-14.3333,-170.0,201709,27.3,NASA POWER
American Samoa,-14.3333,-170.0,201710,27.33,NASA POWER
American Samoa,-14.3333,-170.0,201711,27.84,NASA POWER
American Samoa,-14.3333,-170.0,201712,28.1,NASA POWER
American Samoa,-14.3333,-170.0,201713,27.96,NASA POWER
American Samoa,-14.3333,-170.0,201801,28.06,NASA POWER
American Samoa,-14.3333,-170.0,201802,28.32,NASA POWER
American Samoa,-14.3333,-170.0,201803,27.9,NASA POWER
American Samoa,-14.3333,-170.0,201804,27.85,NASA POWER
American Samoa,-14.3333,-170.0,201805,28.03,NASA POWER
American Samoa,-14.3333,-170.0,201806,27.93,NASA POWER
American Samoa,-14.3333,-170.0,201807,27.08,NASA POWER
American Samoa,-14.3333,-170.0,201808,26.91,NASA POWER
American Samoa,-14.3333,-170.0,201809,27.28,NASA POWER
American Samoa,-14.3333,-170.0,201810,27.46,NASA POWER
American Samoa,-14.3333,-170.0,201811,28.05,NASA POWER
American Samoa,-14.3333,-170.0,201812,28.34,NASA POWER
American Samoa,-14.3333,-170.0,201813,27.76,NASA POWER
American Samoa,-14.3333,-170.0,201901,28.77,NASA POWER
American Samoa,-14.3333,-170.0,201902,28.88,NASA POWER
American Samoa,-14.3333,-170.0,201903,28.56,NASA POWER
American Samoa,-14.3333,-170.0,201904,28.78,NASA POWER
American Samoa,-14.3333,-170.0,201905,28.01,NASA POWER
American Samoa,-14.3333,-170.0,201906,28.04,NASA POWER
American Samoa,-14.3333,-170.0,201907,27.79,NASA POWER
American Samoa,-14.3333,-170.0,201908,27.51,NASA POWER
American Samoa,-14.3333,-170.0,201909,27.17,NASA POWER
American Samoa,-14.3333,-170.0,201910,27.47,NASA POWER
American Samoa,-14.3333,-170.0,201911,27.32,NASA POWER
American Samoa,-14.3333,-170.0,201912,28.14,NASA POWER
American Samoa,-14.3333,-170.0,201913,28.03,NASA POWER
American Samoa,-14.3333,-170.0,202001,28.01,NASA POWER
American Samoa,-14.3333,-170.0,202002,27.93,NASA POWER
American Samoa,-14.3333,-170.0,202003,28.36,NASA POWER
American Samoa,-14.3333,-170.0,202004,28.8,NASA POWER
American Samoa,-14.3333,-170.0,202005,28.78,NASA POWER
American Samoa,-14.3333,-170.0,202006,28.03,NASA POWER
American Samoa,-14.3333,-170.0,202007,27.64,NASA POWER
